Ask Price,Ask Volume,Bid Price,Bid Volume,Chg Pct,Chg,Code,DY,Date,High,Last Price,Low,Market Cap,Name,Number of Records,Open,PE,Quote,ROE,Sector,Update Date,Volume
0.31,610,0.305,115,-1.61,-0.005,191,4.26,17/3/2019,0.305,0.31,0.295,54,ACECABNET HOLDINGS BERHAD,1,0.3,11.55,CABNET,10.04,Technology Equipment,17/3/2019 13:12,2218
2.79,721,2.75,100,1.09,0.03,5099,22.94,17/3/2019,2.79,2.79,2.73,9324,MAINAIRASIA GROUP BERHAD,1,2.78,4.61,AIRASIA,32.57,"Travel, Leisure & Hospitality",17/3/2019 13:12,89842
0.06,71478,0.055,44680,0,0,7243,,17/3/2019,0.06,0.06,0.055,47,MAINBIO OSMO BERHAD,1,0.055,,BIOOSMO,,Food & Beverages,17/3/2019 13:12,61089
0.06,71478,0.055,44680,0,0,7243,,16/3/2019,0.06,0.06,0.055,47,MAINBIO OSMO BERHAD,1,0.055,,BIOOSMO,,Food & Beverages,16/3/2019 13:14,61089
1.72,12859,1.71,208,1.18,0.02,5141,,16/3/2019,1.73,1.71,1.63,1650,MAINDAYANG ENTERPRISE HOLDINGS BERHAD,1,1.68,10.06,DAYANG,14.53,"Energy Infrastructure, Equipment & Services",16/3/2019 13:14,261124
2.79,721,2.75,100,1.09,0.03,5099,22.94,16/3/2019,2.79,2.79,2.73,9324,MAINAIRASIA GROUP BERHAD,1,2.78,4.61,AIRASIA,32.57,"Travel, Leisure & Hospitality",16/3/2019 13:14,89842
0.31,610,0.305,115,-1.61,-0.005,191,4.26,16/3/2019,0.305,0.31,0.295,54,ACECABNET HOLDINGS BERHAD,1,0.3,11.55,CABNET,10.04,Technology Equipment,16/3/2019 13:14,2218
0.31,610,0.305,115,-1.61,-0.005,191,4.26,15/3/2019,0.305,0.31,0.295,54,ACECABNET HOLDINGS BERHAD,1,0.3,11.55,CABNET,10.04,Technology Equipment,15/3/2019 13:15,2218
2.79,721,2.75,100,1.09,0.03,5099,22.94,15/3/2019,2.79,2.79,2.73,9324,MAINAIRASIA GROUP BERHAD,1,2.78,4.61,AIRASIA,32.57,"Travel, Leisure & Hospitality",15/3/2019 13:15,89842
0.06,71478,0.055,44680,0,0,7243,,15/3/2019,0.06,0.06,0.055,47,MAINBIO OSMO BERHAD,1,0.055,,BIOOSMO,,Food & Beverages,15/3/2019 13:15,61089
1.72,12859,1.71,208,1.18,0.02,5141,,15/3/2019,1.73,1.71,1.63,1650,MAINDAYANG ENTERPRISE HOLDINGS BERHAD,1,1.68,10.06,DAYANG,14.53,"Energy Infrastructure, Equipment & Services",15/3/2019 13:15,261124
0.31,190,0.3,179,-1.59,-0.005,191,4.19,14/3/2019,0.325,0.31,0.295,55,ACECABNET HOLDINGS BERHAD,1,0.315,11.74,CABNET,10.04,Technology Equipment,14/3/2019 13:13,1343
1.69,841,1.68,430,0,0,5141,,14/3/2019,1.75,1.69,1.66,1631,MAINDAYANG ENTERPRISE HOLDINGS BERHAD,1,1.73,9.94,DAYANG,14.53,"Energy Infrastructure, Equipment & Services",14/3/2019 13:13,421702
2.77,230,2.76,1005,-1.08,-0.03,5099,23.19,14/3/2019,2.82,2.76,2.76,9224,MAINAIRASIA GROUP BERHAD,1,2.8,4.56,AIRASIA,32.57,"Travel, Leisure & Hospitality",14/3/2019 13:13,55938
0.06,67998,0.055,45588,0,0,7243,,14/3/2019,0.06,0.06,0.055,47,MAINBIO OSMO BERHAD,1,0.055,,BIOOSMO,,Food & Beverages,14/3/2019 13:13,18780
2.79,2661,2.78,283,1.82,0.05,5099,22.94,13/3/2019,2.83,2.79,2.74,9324,MAINAIRASIA GROUP BERHAD,1,2.77,4.61,AIRASIA,32.57,"Travel, Leisure & Hospitality",13/3/2019 13:14,82846
0.315,200,0.295,2166,1.61,0.005,191,4.13,13/3/2019,0.315,0.32,0.295,56,ACECABNET HOLDINGS BERHAD,1,0.305,11.93,CABNET,10.04,Technology Equipment,13/3/2019 13:14,751
