Ask Price,Ask Volume,Bid Price,Bid Volume,Chg Pct,Chg,Code,DY,Date,High,Last Price,Low,Market Cap,Name,Number of Records,Open,PE,Quote,ROE,Sector,Update Date,Volume
1.41,11699,1.4,12198,1.45,0.02,5141,,7/3/2019,1.41,1.4,1.36,1351,MAINDAYANG ENTERPRISE HOLDINGS BERHAD,1,1.39,8.24,DAYANG,14.53,"Energy Infrastructure, Equipment & Services",7/3/2019 13:14,247450
2.84,10,2.83,1180,1.07,0.03,5099,18.37,7/3/2019,2.88,2.83,2.8,9458,MAINAIRASIA GROUP BERHAD,1,2.8,4.67,AIRASIA,32.57,"Travel, Leisure & Hospitality",7/3/2019 13:14,136838
0.06,42010,0.055,61299,-8.33,-0.005,7243,,7/3/2019,0.06,0.06,0.055,43,MAINBIO OSMO BERHAD,1,0.055,,BIOOSMO,,Food & Beverages,7/3/2019 13:14,6390
0.295,191,0.285,589,0,0,191,4.41,6/3/2019,0.3,0.3,0.285,52,ACECABNET HOLDINGS BERHAD,1,0.295,11.17,CABNET,10.04,Technology Equipment,6/3/2019 13:15,1135
1.38,4366,1.37,8873,5.34,0.07,5141,,6/3/2019,1.43,1.38,1.3,1331,MAINDAYANG ENTERPRISE HOLDINGS BERHAD,1,1.31,8.12,DAYANG,14.53,"Energy Infrastructure, Equipment & Services",6/3/2019 13:15,552370
0.06,39210,0.055,57741,9.09,0.005,7243,,6/3/2019,0.06,0.06,0.055,47,MAINBIO OSMO BERHAD,1,0.06,,BIOOSMO,,Food & Beverages,6/3/2019 13:15,7800
2.81,2158,2.8,1685,0.36,0.01,5099,18.57,6/3/2019,2.82,2.8,2.78,9358,MAINAIRASIA GROUP BERHAD,1,2.8,4.62,AIRASIA,32.57,"Travel, Leisure & Hospitality",6/3/2019 13:15,77790
0.06,34610,0.055,44821,0,0,7243,,5/3/2019,0.055,0.06,0.055,43,MAINBIO OSMO BERHAD,1,0.055,,BIOOSMO,,Food & Beverages,5/3/2019 13:13,11890
1.32,1160,1.31,5125,-3.68,-0.05,5141,,5/3/2019,1.45,1.31,1.29,1264,MAINDAYANG ENTERPRISE HOLDINGS BERHAD,1,1.38,7.71,DAYANG,14.53,"Energy Infrastructure, Equipment & Services",5/3/2019 13:13,649659
0.3,50,0.295,300,3.51,0.01,191,4.41,5/3/2019,0.315,0.3,0.285,52,ACECABNET HOLDINGS BERHAD,1,0.285,11.17,CABNET,10.04,Technology Equipment,5/3/2019 13:13,5138
2.8,55,2.79,1440,-0.71,-0.02,5099,18.64,5/3/2019,2.82,2.79,2.76,9324,MAINAIRASIA GROUP BERHAD,1,2.8,4.61,AIRASIA,32.57,"Travel, Leisure & Hospitality",5/3/2019 13:13,102196
0.285,301,0.275,1523,11.76,0.03,191,4.56,4/3/2019,0.285,0.29,0.255,50,ACECABNET HOLDINGS BERHAD,1,0.255,10.8,CABNET,10.04,Technology Equipment,4/3/2019 15:54,7405
1.37,3644,1.36,5187,15.25,0.18,5141,,4/3/2019,1.41,1.36,1.23,1312,MAINDAYANG ENTERPRISE HOLDINGS BERHAD,1,1.23,8,DAYANG,14.53,"Energy Infrastructure, Equipment & Services",4/3/2019 15:54,985665
2.82,1317,2.81,1879,2.55,0.07,5099,18.51,4/3/2019,2.84,2.81,2.75,9391,MAINAIRASIA GROUP BERHAD,1,2.75,4.64,AIRASIA,32.57,"Travel, Leisure & Hospitality",4/3/2019 15:54,146086
0.06,36910,0.055,59183,0,0,7243,,4/3/2019,0.06,0.06,0.055,43,MAINBIO OSMO BERHAD,1,0.055,,BIOOSMO,,Food & Beverages,4/3/2019 15:54,6850
0.255,70,0.25,350,2,0.005,191,5.1,3/3/2019,0.255,0.26,0.255,45,ACECABNET HOLDINGS BERHAD,1,0.255,9.66,CABNET,10.04,Technology Equipment,3/3/2019 15:40,100
1.19,4652,1.18,12086,18,0.18,5141,,3/3/2019,1.18,1.18,0.99,1138,MAINDAYANG ENTERPRISE HOLDINGS BERHAD,1,1.01,6.94,DAYANG,14.53,"Energy Infrastructure, Equipment & Services",3/3/2019 15:40,644954
0.06,45740,0.055,49985,0,0,7243,,3/3/2019,0.06,0.06,0.055,43,MAINBIO OSMO BERHAD,1,0.06,,BIOOSMO,,Food & Beverages,3/3/2019 15:40,3350
2.76,646,2.74,2061,-1.08,-0.03,5099,18.98,3/3/2019,2.79,2.74,2.69,9157,MAINAIRASIA GROUP BERHAD,1,2.77,4.52,AIRASIA,32.57,"Travel, Leisure & Hospitality",3/3/2019 15:40,260159
1.19,4652,1.18,12086,18,0.18,5141,,2/3/2019,1.18,1.18,0.99,1138,MAINDAYANG ENTERPRISE HOLDINGS BERHAD,1,1.01,6.94,DAYANG,14.53,"Energy Infrastructure, Equipment & Services",2/3/2019 13:14,644954
0.06,45740,0.055,49985,0,0,7243,,2/3/2019,0.06,0.06,0.055,43,MAINBIO OSMO BERHAD,1,0.06,,BIOOSMO,,Food & Beverages,2/3/2019 13:14,3350
0.255,70,0.25,350,2,0.005,191,5.1,2/3/2019,0.255,0.26,0.255,45,ACECABNET HOLDINGS BERHAD,1,0.255,9.66,CABNET,10.04,Technology Equipment,2/3/2019 13:14,100
2.76,646,2.74,2061,-1.08,-0.03,5099,18.98,2/3/2019,2.79,2.74,2.69,9157,MAINAIRASIA GROUP BERHAD,1,2.77,4.52,AIRASIA,32.57,"Travel, Leisure & Hospitality",2/3/2019 13:14,260159
2.76,646,2.74,2061,-1.08,-0.03,5099,18.98,1/3/2019,2.79,2.74,2.69,9157,MAINAIRASIA GROUP BERHAD,1,2.77,4.52,AIRASIA,32.57,"Travel, Leisure & Hospitality",1/3/2019 16:57,260159
1.19,4652,1.18,12086,18,0.18,5141,,1/3/2019,1.18,1.18,0.99,1138,MAINDAYANG ENTERPRISE HOLDINGS BERHAD,1,1.01,6.94,DAYANG,14.53,"Energy Infrastructure, Equipment & Services",1/3/2019 16:57,644954
0.255,70,0.25,350,2,0.005,191,5.1,1/3/2019,0.255,0.26,0.255,45,ACECABNET HOLDINGS BERHAD,1,0.255,9.66,CABNET,10.04,Technology Equipment,1/3/2019 16:57,100
0.06,45740,0.055,49985,0,0,7243,,1/3/2019,0.06,0.06,0.055,43,MAINBIO OSMO BERHAD,1,0.06,,BIOOSMO,,Food & Beverages,1/3/2019 16:57,3350
1,54880,0.995,4125,0,0,5141,,28/2/2019,1.04,1,0.995,964,MAINDAYANG ENTERPRISE HOLDINGS BERHAD,1,1.03,5.88,DAYANG,14.53,"Energy Infrastructure, Equipment & Services",28/2/2019 11:58,289586
2.78,690,2.77,1479,-8.88,-0.27,5099,18.77,28/2/2019,2.87,2.77,2.75,9257,MAINAIRASIA GROUP BERHAD,1,2.85,4.57,AIRASIA,32.57,"Travel, Leisure & Hospitality",28/2/2019 11:58,746767
0.06,53440,0.055,45930,0,0,7243,,28/2/2019,0.055,0.06,0.055,43,MAINBIO OSMO BERHAD,1,0.055,,BIOOSMO,,Food & Beverages,28/2/2019 11:58,30889
0.255,100,0.25,1,2.04,0.005,191,5.2,28/2/2019,0.26,0.25,0.24,44,ACECABNET HOLDINGS BERHAD,1,0.24,9.47,CABNET,10.04,Technology Equipment,28/2/2019 11:58,1170
0.255,136,0.24,340,8.51,0.02,191,5.1,26/2/2019,0.275,0.26,0.245,45,ACECABNET HOLDINGS BERHAD,1,0.265,9.66,CABNET,10.04,Technology Equipment,26/2/2019 11:13,8766
0.97,2163,0.965,1794,-5.39,-0.055,5141,,26/2/2019,1.04,0.97,0.95,931,MAINDAYANG ENTERPRISE HOLDINGS BERHAD,1,1.03,5.68,DAYANG,14.53,"Energy Infrastructure, Equipment & Services",26/2/2019 11:13,397137
3.1,271,3.09,514,0.98,0.03,5099,16.77,26/2/2019,3.11,3.1,3.08,10360,MAINAIRASIA GROUP BERHAD,1,3.08,3.71,AIRASIA,32.38,"Travel, Leisure & Hospitality",26/2/2019 11:13,36295
0.06,72249,0.055,99886,0,0,7243,,26/2/2019,0.06,0.06,0.055,43,MAINBIO OSMO BERHAD,1,0.055,,BIOOSMO,,Food & Beverages,26/2/2019 11:13,6280
3.08,481,3.07,572,-1.92,-0.06,5099,16.94,25/2/2019,3.15,3.07,3.06,10260,MAINAIRASIA GROUP BERHAD,1,3.13,3.67,AIRASIA,32.38,"Travel, Leisure & Hospitality",25/2/2019 11:18,63756
0.24,80,0.235,43,0,0,191,5.53,25/2/2019,0.235,0.24,0.225,42,ACECABNET HOLDINGS BERHAD,1,0.225,8.9,CABNET,10.04,Technology Equipment,25/2/2019 11:18,804
1.03,3046,1.02,22661,28.3,0.225,5141,,25/2/2019,1.06,1.02,0.925,984,MAINDAYANG ENTERPRISE HOLDINGS BERHAD,1,0.97,6,DAYANG,14.53,"Energy Infrastructure, Equipment & Services",25/2/2019 11:18,1527698
0.06,69104,0.055,94927,0,0,7243,,25/2/2019,0.06,0.06,0.055,43,MAINBIO OSMO BERHAD,1,0.055,,BIOOSMO,,Food & Beverages,25/2/2019 11:18,33200
